Id,FacilityId,CourseName,FacilityName,City,State,Website,DefaultPhoto,IsFlagged
cfa0a17c-d021-4a8e-9711-a28d41282039,5992A260-080D-4F99-A72A-96DF1A61824D,Settlers Bay Golf Course,Settlers Bay Golf Course,Wasilla,AK,https://www.settlersbay.com,,True
9b0f2538-cf04-448a-b395-60292a7a87f8,44A880A9-7886-4B90-9E52-B8CAAC9EB529,Palmer Golf Course,Palmer Golf Course,Palmer,AK,https://palmergolfcourse.com,,True
1acef68e-a47e-438f-8f6f-6389c2de0d0a,4A9C705C-AF8E-47F9-8D68-9B7F7B8B8C00,Creek Course,Moose Run Golf Course,Anchorage,AK,https://www.mooserungolfcourse.com,,True
714f4a9e-531e-4cd5-9c02-843236dd1550,14B64734-A750-4070-A4CF-54C9446A8EF0,Chena Bend Golf Course,Chena Bend Golf Course,Fairbanks,AK,,,True
321e641d-c543-435e-9ea0-900a8e9d6de8,958892A5-FC03-4392-9351-BCC90BC168D6,Anchorage Golf Course,Anchorage Golf Course,Anchorage,AK,https://www.anchoragegolfcourse.com,,True
a21ebf37-7bd8-48b4-b067-ff848cf71213,6448D0E8-0313-46DD-BC58-3F5CAB6BC4AB,West Course,Country Club of Birmingham,Birmingham,AL,https://www.ccbham.org/,,True
13a30344-50c1-4bfb-ac5a-541f708889ae,A23E7EB7-BEE9-40EF-9DE9-C0A1EE4E8573,Shoal Creek Club,Shoal Creek Club,Shoal Creek,AL,https://www.shoalcreekclub.com,,True
8ccd5fe8-2988-45a1-a03e-590f8b8a15ae,90BB59BA-09B6-43D9-AE90-93619C54C0DA,Sherling/Canyon,Cambrian Ridge Golf Course,Greenville,AL,https://www.rtjgolf.com/cambrianridge,,True
08dc3b1f-d2c1-440f-ae4a-19601b537497,EB8A4BBA-F319-4537-8E3F-FFD7EDFED1BA,Ross Bridge Golf Course,Ross Bridge Golf Course,Birmingham,AL,,,True
300626cc-6ce3-4698-b294-caf6863a35a4,D4862F8E-25E4-4B09-A296-31805486A430,Pursell Farms,Farmlinks Golf Club,Sylacauga,AL,https://www.pursellfarms.com/,True,False
ebe83794-928b-47f0-8a83-8f4587baebe4,8B621C11-3769-4E52-B7A3-DF8487CD5C69,Links,Grand National Golf Course,Opelika,AL,https://www.rtjgolf.com/grandnational/,,True
37a3c407-5d3b-4b14-bfca-74ffeeb2d179,3151FD21-F4FE-4C60-82AD-FC88B9C7196F,Legislator,Capitol Hill Golf Course,Prattville,AL,https://www.rtjgolf.com/capitolhill,,True
7a171aa3-b46c-4e75-8a20-535e0548ada6,8B621C11-3769-4E52-B7A3-DF8487CD5C69,Lake Course,Grand National Golf Course,Opelika,AL,https://www.rtjgolf.com/grandnational/,,True
9d1e3cb2-e94d-4f89-b74f-b6af59d94b6c,BC388181-DBCF-4E9F-B487-AAE0045464F2,Kiva Dunes,Kiva Dunes,Gulf Shores,AL,https://www.kivadunes.com/,,True
684101ea-fe99-48b4-9a15-bf1db63c3351,3151FD21-F4FE-4C60-82AD-FC88B9C7196F,Judge,Capitol Hill Golf Course,Prattville,AL,https://www.rtjgolf.com/capitolhill,,True
4a4e013a-207c-4882-b934-61d990dfbded,01FF3AF1-CBED-4DAC-B559-CC5EFEEBA27F,Huntsville Country Club,Huntsville Country Club,Huntsville,AL,https://www.huntsvillecountryclub.com/,,True
8b4f0ec9-69ec-4456-b21f-0ff338a768be,1E0FAEDD-71EF-4C94-AA5F-0567C6BD35F8,Falls,Magnolia Grove,Semmes,AL,,,True
3ab4c99c-dd3e-4c6c-9d56-962ca29506f8,1E0FAEDD-71EF-4C94-AA5F-0567C6BD35F8,Crossings,Magnolia Grove,Semmes,AL,,,True
0ced2861-286e-49a4-a7d4-4ff96000a63f,8D473806-70B7-4462-BCA4-A2FD1B7D49DC,North-West,The Ridges at Village Creek,Wynne,AR,https://www.arkansasstateparks.com/parks/village-creek-state-park,,True
fad1e14f-c25f-42cb-89c6-97fc36ebaad6,99A8FA99-68B6-43C2-A796-79ABEBCF3D8D,Mystic Creek Golf Club,Mystic Creek Golf Club,El Dorado,AR,,,True
2ef62c15-610d-44a8-a009-71496bc8333d,F673DE3D-158E-4D28-8C98-486EAA6C50A8,Mountain Ranch Golf Club,Mountain Ranch Golf Club,Fairfield Bay,AR,,,True
b3a1a4a9-c0c3-4ab4-9624-7b91cb0b5621,57EEE340-8AF6-4C66-96B3-9C25BD8528C5,Big Creek Golf & Country Club,Big Creek Golf & Country Club,Mountain Home,AR,https://www.bigcreekgolf.com/,,True
daede798-0183-4562-8c14-44a6f7be9506,0C00F826-7188-4837-B0A8-A0DBFA0C735C,Arlington,Hot Springs Country Club,Hot Springs,AR,https://www.hotspringscc.com/,,True
