Id,FacilityId,CourseName,FacilityName,Title,City,PostalCode,PriceLow,PriceHigh,YearOpened,Designer,Email,Phone,Website,Type,Facebook,Instagram,Description
cd2ccf3e-a67e-4b72-8ad1-cb99eda0c4ac,E11E2CBF-86D0-4D86-AE5B-C18E4F0A738A,North Course,Lakeview Hills Golf Resort,mi-lakeview-hills-golf-resort-north-course,Lexington,48450,,,,,,(810) 359-8901,https://www.lakeviewhills.com,1,https://www.facebook.com/lakeviewhills/,https://www.instagram.com/lakeviewhillscc/,
a92f8810-0504-4ec6-8bcc-d47a4f4bfcc8,E11E2CBF-86D0-4D86-AE5B-C18E4F0A738A,South Course,Lakeview Hills Golf Resort,mi-lakeview-hills-golf-resort-south-course,Lexington,48450,,,,,,(810) 359-8901,https://www.lakeviewhills.com,1,https://www.facebook.com/lakeviewhills/,https://www.instagram.com/lakeviewhillscc/,
9af321e0-4fdb-4218-9353-12600305d4fb,AEE1CC61-C11E-4F67-BF41-B84D66413724,Spruce Run,Grand Traverse Resort & Spa,mi-grand-traverse-resort-and-spa-spruce-run,Acme,48610,,,,,info@gtresort.com,(800) 236-1577,https://www.grandtraverseresort.com,1,https://www.facebook.com/GrandTraverseResort,https://www.instagram.com/gt_resort,
ccca5888-6617-488d-85bc-871a65c3de29,593D5410-6800-409A-A94A-C2BE510D2667,Challenge Course,Egypt Valley Country Club,mi-egypt-valley-country-club-challenge-course,Ada,49301,,,,,,(616) 676-2626,https://www.egyptvalley.com,2,https://www.facebook.com/EgyptValleyCountryClub/,https://www.instagram.com/egyptvalleycountryclub/,
60a225ed-d4bf-4457-9701-6e2e7d0782d1,593D5410-6800-409A-A94A-C2BE510D2667,Classic Course,Egypt Valley Country Club,mi-egypt-valley-country-club-classic-course,Ada,49301,,,,,,(616) 676-2626,https://www.egyptvalley.com,2,https://www.facebook.com/EgyptValleyCountryClub/,https://www.instagram.com/egyptvalleycountryclub/,
1e14e330-24eb-411e-8c7b-b276d1c1a56d,5D846A1B-D9FD-491A-9960-6E6E340707C2,Quail Ridge Golf Club,Quail Ridge Golf Club,mi-quail-ridge-gc,Ada,49301,,,,,marc@quailridgegc.com,(616) 676-2000,https://quailridgegc.com,1,https://www.facebook.com/Quail-Ridge-Golf-Club-Ada-Grand-Rapids-MI-106580946062273/,,
3854f906-2bfc-4a5a-8315-5c6b7ace2011,593D5410-6800-409A-A94A-C2BE510D2667,Ridge Course,Egypt Valley Country Club,mi-egypt-valley-country-club-ridge-course,Ada,49301,,,,,,(616) 676-2626,https://www.egyptvalley.com,2,https://www.facebook.com/EgyptValleyCountryClub/,https://www.instagram.com/egyptvalleycountryclub/,
c12aafef-38ae-4690-9ed8-dd986184028a,593D5410-6800-409A-A94A-C2BE510D2667,Valley Course,Egypt Valley Country Club,mi-egypt-valley-country-club-valley-course,Ada,49301,,,,,,(616) 676-2626,https://www.egyptvalley.com,2,https://www.facebook.com/EgyptValleyCountryClub/,https://www.instagram.com/egyptvalleycountryclub/,
1fd13ca2-972d-47e1-a011-8dcc618ce079,5DBD0E14-8548-483D-B46A-F3FD8378875A,Hills Of Lenawee Golf Club,Hills Of Lenawee Golf Club,mi-hills-of-lenawee-golf-club,Adrian,49221,,,,,,(517) 265-2142,https://www.hillsoflenaweegolf.com,1,,,
8e7da178-5966-4c6c-ab81-d9518f7536e1,E72CBF34-02D1-48A4-855C-0ADF66C69FD3,Wolf Creek Golf Club,Wolf Creek Golf Club,mi-wolf-creek-golf-club,Adrian,49221,,,,,,(517) 672-8802,https://thewolfcreekgolfclubadrian.com,1,,,
a497b39b-bfbd-4909-8003-e4c5f8206ddd,B476DD30-6EAA-4DF0-BF06-4A3CC01BA3E5,Duck Lake Country Club,Duck Lake Country Club,mi-duck-lake-country-club,Albion,49224,,,,,,,,-1,,,
0e3a11ef-5bfd-4093-8e34-8bde8ed83c11,A4FF994B-0B6C-41FA-A881-9C531199334D,The Meadows Golf Course at Grand Valley State University,The Meadows Golf Course at Grand Valley State University,mi-meadows-gc-at-gvsu,Allendale,49401,,,,,,,,1,,,
56d8e7d4-2b6a-4ce9-834a-7d32478ee24c,5615DDEF-728A-45AE-99D7-34405488C520,Pine River Country Club,Pine River Country Club,mi-pine-river-country-club,Alma,48658,,,,,,(989) 463-4610,,2,,,
5ae4b236-2fa7-40b6-b9aa-bebd12778c22,D291F639-AEFD-42F3-8014-4F14482B5753,Alpena Golf Club,Alpena Golf Club,mi-alpena-golf-club,Alpena,49707,47,52,,Warner Bowen,agci@alpenagolfclub.com,(989) 354-5052,https://www.alpenagolfclub.com,1,,,"Alpena Golf Club allows you to experience two different styles of golf courses in a single round. The front nine’s personality reflects an authentic 1930’s style design with larger landing areas, mature trees, and smaller greens. Venture to Alpena’s back nine to play a more contemporary course designed by Warner Bowen. Here you will find longer holes, larger contoured greens and wooded rolling terrain with several ponds."
dc856dde-5ccd-41ed-a41e-9d314a6a5da8,7C674631-6173-4038-B0E8-275580B1552B,River's Edge Golf Club,River's Edge Golf Club,mi-rivers-edge-golf-club,Alpena,49707,,,,,,(989) 354-4312,https://www.riversedgeofalpena.com,2,https://www.facebook.com/Rivers-Edge-Golf-Club-112207022136474/,,
17528df9-f58f-4ff0-b074-38347540da49,C9C9B68F-AFCC-43F7-AF83-8343438F0F4F,Blue,Saskatoon Golf Club,mi-saskatoon-gc-blue,Alto,49302,,,,golf@saskatoongolf.com,(616) 891-9229,https://saskatoongolf.com,1,https://www.facebook.com/Saskatoon-Golf-Club-168171986926,,
