CourseId,Course Name,Ranking,Designers,Location,Type Course,Year Opened
f83d7c8c-d268-4dc6-b470-604529158ff3,Cypress Point Club,1,Alister MacKenzie,"Pebble Beach, CA",private,1928
89a7099c-5f90-4598-9ab9-91119888db28,Pine Valley,2,George Crump,"Pine Valley, NJ",private,1914
,Augusta National,3,"Alister MacKenzie, Bobby Jones","Augusta, GA",private,1932
8cdb1009-81e1-4bf3-b21e-96a53f69ecd9,Shinnecock Hills,4,"William S. Flynn, Howard C. Toomey","Southampton, NY",private,1931
439ad246-12f6-49cf-8aba-c143572c4569,National Golf Links of America,5,Charles Blair Macdonald,"Southampton, NY",private,1911
135152f1-6c60-475d-b667-df8daa441614,Oakmont Country Club,6,Henry Fownes,"Oakmont, PA",private,1903
4c9a9769-12ca-458d-83b5-0694c46ce51a,Merion (East),7,Hugh Wilson,"Ardmore, PA",private,1912
894a843b-3b25-458a-84c0-e8a434425f97,Chicago Golf Club,8,"Charles Blair Macdonald, Seth Raynor","Wheaton, IL",private,1894
e0f0d504-ca78-48c9-844f-98ab11becf83,Fishers Island Club,9,Seth Raynor,"Fishers Island, NY",private,1926
35da8375-852a-4096-ad76-6532dc3cb321,Pebble Beach Resorts (Pebble Beach Golf Links),10,"Douglas Grant, Jack Neville","Pebble Beach, CA","resort, daily fee",1919
48deaaae-4e33-4cf1-bc19-5b7646ce1490,Los Angeles Country Club (North),11,"William P. Bell, Herbert Fowler, George C. Thomas, Jr., Gil Hanse, Jim Wagner, Geoff Shackelford","Los Angeles, CA",private,1927
6a61c34a-a332-4131-9e9a-2453380bb153,Seminole,12,Donald Ross,"Juno Beach, FL",private,1929
e83bfcf5-1e2f-460e-b009-3e49d119ed92,Prairie Dunes,13,"Perry Maxwell, Press Maxwell","Hutchinson, KS",private,1937
a4d000be-7919-4217-a1ce-7aba3960bcd7,Crystal Downs,14,"Alister MacKenzie, Perry Maxwell","Frankfort, MI",private,1931
04284839-d8f6-404f-bf6a-5bc94f150ea8,Old Town Club,15,"Perry Maxwell, Bill Coore, Ben Crenshaw","Winston-Salem, NC",private,1939
ecc13a05-0daa-4410-8dfe-d57f65c5e55d,Winged Foot (West),16,A.W. Tillinghast,"Mamaroneck, NY",private,1923
8cfc84ea-d771-4a6c-8db4-052f1280a9a4,Riviera,17,"George C. Thomas Jr., William P. Bell","Pacific Palisades, CA",private,1927
,San Francisco Golf Club,18,A.W. Tillinghast,"San Francisco, CA",private,1915
a4454704-287d-4c48-a8d2-4d459ca5841b,Peachtree,18,"Robert Trent Jones Sr., Bobby Jones","Atlanta, GA",private,1948
,Pinehurst Resort (No. 2),20,Donald Ross,"Pinehurst, NC","resort, daily fee",1907
bb5915ad-2c5a-4141-afbc-8f2c4cadd206,Somerset Hills,21,A.W. Tillinghast,"Bernardsville, NJ",private,1918
e354b23b-944d-49cd-b33c-2e79f0f72b09,Shoreacres,22,Seth Raynor,"Lake Bluff, IL",private,1921
33299f77-cb95-40ce-b963-07f5b2fcbe26,Oakland Hills (South),23,Donald Ross,"Bloomfield Hills, MI",private,1918
54bd00e7-c97f-4722-820a-9af1305b9400,Maidstone Club,24,"William H. Tucker, Willie Park Jr.","East Hampton, NY",private,1899
07af7e23-95ab-4938-b73b-6a5942a544a5,The Country Club (Composite),24,"Willie Campbell, William S. Flynn, Howard C. Toomey","Brookline, MA",private,1895
9c1e7afa-d143-4ac0-941d-78f9e34ac9fc,Bethpage State Park (Black),26,A.W. Tillinghast,"Farmingdale, NY","daily fee, municipal",1935
71df7818-0f18-4161-8299-5e00ce71ecbc,Garden City Golf Club,27,"Devereux Emmet, Walter J. Travis","Garden City, NY",private,1901
ba5bc631-a549-4563-8eba-13dbacfcc618,Camargo Club,28,Seth Raynor,"Indian Hill, OH",private,1925
18a37285-eef1-4b97-bc00-1fc6ca8efa6f,California Golf Club,29,"A. Vernon Macan, Alister MacKenzie, Kyle Phillips","South San Francisco, CA",private,1926
828537ac-5ff9-492b-bfa5-15e84dde1592,Sleepy Hollow,30,"Charles Blair Macdonald, Seth Raynor","Scarborough, NY",private,1913
d34ac279-f3ff-4203-b959-20cdfb35ed34,Myopia Hunt Club,30,Herbert Leeds,"Hamilton, MA",private,1896
88a422e1-6738-460e-8ecb-922271a7d62d,Plainfield,32,Donald Ross,"Edison, NJ",private,1916
10ab50c7-fdd6-49d9-a7d7-757f743f2404,Southern Hills,32,"Perry Maxwell, Gil Hanse, Jim Wagner","Tulsa, OK",private,1936
bea984c7-faba-437f-9b5c-b4a01a10cba0,Winged Foot (East),32,A.W. Tillinghast,"Mamaroneck, NY",private,1923
