CourseId,Course Name,Ranking,Designers,Location,Type Course,Year Opened
,Sand Hills,1,"Bill Coore, Ben Crenshaw","Mullen, NE",private,1995
b2d80f03-88cb-4ce7-ada2-be8a4d1a11ca,Friar's Head,2,"Bill Coore, Ben Crenshaw","Baiting Hollow, NY",private,2003
a8b910ff-e785-4ca7-bda9-c616c46ab196,Bandon Dunes Golf Resort (Pacific Dunes),3,Tom Doak,"Bandon, OR",public,2001
,Ohoopee Match Club,4,"Gil Hanse, Jim Wagner","Cobbtown, GA",private,2018
,Ballyneal,5,Tom Doak,"Holyoke, CO",private,2006
182319f7-89e6-4607-8eb2-1e62ba2b02b5,Kohler Whistling Straits (Straits),6,Pete Dye,"Mosel, WI",public,1998
68582382-92bf-4a33-a126-54fa914454f1,Muirfield Village,T7,Jack Nicklaus,"Dublin, OH",private,1974
95bdb623-9520-48eb-8a59-1f9c6c6c3374,Wade Hampton,T7,Tom Fazio,"Cashiers, NC",private,1987
688efe7e-88f5-4c05-a88c-9233c723e3e5,Bandon Dunes Golf Resort (Bandon Trails),9,"Bill Coore, Ben Crenshaw","Bandon, OR",public,2005
ae13fbe4-3f3e-4367-b30a-e3e3936a0c6a,Bandon Dunes Golf Resort (Old Macdonald),10,"Tom Doak, Jim Urbina","Bandon, OR",public,2010
080202c6-4c9b-42c0-a993-a58b3054fefc,Sebonack,11,"Tom Doak, Jack Nicklaus","Southampton, NY",private,2006
80aede67-d8c8-458a-a3fe-1d7799d1a1cf,Bandon Dunes Golf Resort (Bandon Dunes),12,David McLay Kidd,"Bandon, OR",public,1999
45a79fe1-e7ce-4f1f-b6f5-8661f6221858,CapRock Ranch,T13,"Gil Hanse, Jim Wagner","Valentine, NE",private,2021
737A395B-5118-4126-B05B-76AB8A1217F1,Shadow Creek,T13,Tom Fazio,"North Las Vegas, NV",public,1990
5dbaa1fb-5daa-41c0-93bf-e76bd9b05b40,Kiawah Island Golf Resort (Ocean),15,Pete Dye,"Kiawah Island, SC",public,1991
7daea5c1-fb16-41eb-8da4-2e1e649129f3,Rock Creek Cattle Company,16,Tom Doak,"Deer Lodge, MT",private,2008
0c772571-3295-4bac-9bcc-9115fa58aed2,Monterey Peninsula (Shore),17,"Robert Baldock, Jack Neville, Michael Strantz","Pebble Beach, CA",private,1961
717d84f2-4706-4fcf-84e7-45316bebc471,Nanea,18,David McLay Kidd,"Kailua-Kona, HI",private,2004
a38cb510-266a-48f6-b767-8648bbbf5972,Estancia,19,Tom Fazio,"Scottsdale, AZ",private,1995
acc8bd68-a15e-4533-ba0f-e2c84980c39e,The Golf Club,T20,Pete Dye,"New Albany, OH",private,1967
c55cda0e-5525-4ada-ac56-2b3067a222c7,Pikewood National,T20,"John Raese, J. Robert Gwynne","Morgantown, WV",private,2009
ca1e2a79-6d45-4ea6-afef-240a89a4b40a,Honors Course,T22,Pete Dye,"Ooltewah, TN",private,1983
f7a0db4e-f11e-4b59-b6fa-e5a32574204b,Medinah (No. 3),T22,"Tom Bendelow, Geoff Ogilvy, Mike Cocking, Ashley Mead","Medinah, IL",private,2024
f7de7a6c-9375-4393-85ab-2e3c84eab22d,Calusa Pines,T24,"Michael Hurdzan, Dana Fry","Naples, FL",private,2001
,Old Barnwell,T24,"Brian Schneider, Blake Conant","Aiken, SC",private,2023
b4b29179-414c-46b1-9c1b-00a0d3288262,Sand Valley (Lido),26,"Charles Blair Macdonald, Tom Doak, Brian Schneider","Nekoosa, WI",public,2023
e6076877-b07a-41dd-90f1-8e5bc841710c,Pebble Beach Resorts (Spyglass Hill),T27,Robert Trent Jones Sr.,"Pebble Beach, CA",public,1966
f4ae232f-abcf-4c28-a542-ffc59497bc6a,Congaree,T27,Tom Fazio,"Ridgeland, SC",private,2017
,Panther National,29,"Jack Nicklaus, Justin Thomas","Palm Beach Gardens, FL",private,2023
0f2b2bbe-3829-4927-914a-fffc64fc1d17,TPC Sawgrass (Players Stadium),30,Pete Dye,"Ponte Vedra Beach, FL",public,1980
47dcf90f-0aad-42e7-bfc6-77640a0e9c5e,Bandon Dunes Golf Resort (Sheep Ranch),31,"Bill Coore, Ben Crenshaw","Bandon, OR",public,2020
8fd8fd3d-5831-4fdd-b29c-f978797a8fc8,Boston Golf Club,T32,"Gil Hanse, Jim Wagner","Hingham, MA",private,2005
7a439d59-d22f-45ed-95e6-508723aebc27,Kinloch,T32,Lester George,"Manakin-Sabot, VA",private,2000
90039c8e-5bd5-4005-8a92-31cbca8dcdeb,Four Seasons Resort Lanai (Manele),T32,Jack Nicklaus,"Lanai, HI",public,1993
79e69772-0a1f-4900-9585-2bf08145e73e,Colorado Golf Club,35,"Bill Coore, Ben Crenshaw","Parker, CO",private,2007
34e29a16-cd43-47e8-a6f8-0c6b4bc0eb1a,Old Sandwich,36,"Bill Coore, Ben Crenshaw","Plymouth, MA",private,2004
46c88779-ebfd-4680-b909-2c59fceee31a,Kingsley Club,T37,Mike Devries,"Kingsley, MI",private,2001
8fcf1c29-5b17-4874-a027-4e6b69ccfe64,Whispering Pines,T37,Chet Williams,"Trinity, TX",private,2000
a25425b2-194a-40a8-ab67-083bba739533,Gozzer Ranch,T37,Tom Fazio,"Harrison, ID",private,2007
52cc683f-579f-48c2-94b7-5e6acd416e0f,Chambers Bay,T40,"Robert Trent Jones Jr., Bruce Charlton, Jay Blasi","University Place, WA",public,2007
,Tree Farm,T40,"Tom Doak, Kye Goalby, Zac Blair","Batesburg, SC",private,2023
349bb0e9-2083-4b31-a0f1-78b417d3b685,Landmand,42,"Tad King, Rob Collins","Homer, NE",public,2022
d453e083-3d1b-4276-ae57-f1206c898d0d,Martis Camp,43,Tom Fazio,"Truckee, CA",private,2008
2b4f9c67-d7e3-4dfb-ad34-5fa5dac3489b,Streamsong (Red),44,"Bill Coore, Ben Crenshaw","Bowling Green, FL",public,2012
5e6c1dff-84b3-4fcf-9c3c-81c267d45a96,Sand Valley (Sand Valley),T45,"Bill Coore, Ben Crenshaw","Nekoosa, WI",public,2017
0686de25-c495-4075-b1fe-600a19c21857,Sand Valley (Mammoth Dunes),T45,David McLay Kidd,"Nekoosa, WI",public,2018
30327841-8fce-4c13-8008-f6f357714b97,Robert Trent Jones Golf Club,47,"Robert Trent Jones Sr., Roger Rulewich","Lake Manassas, VA",private,1991
0d4d835d-c629-4401-9772-973e3979b2db,Dallas National,48,Tom Fazio,"Dallas, TX",private,2002
95815ebf-6512-405c-a4fd-c122e7f36a8c,Kapalua (Plantation),49,"Bill Coore, Ben Crenshaw","Maui, HI",public,1991
fc573f40-3ad8-48e1-b841-ef05809045d1,Butler National,T50,"Tom Fazio, George Fazio","Oak Brook, IL",private,1974
3f0ca4dd-1bfe-4142-ba7f-8960170b5df9,Shooting Star,T50,Tom Fazio,"Teton Village, WY",private,2009
ae55901b-1a57-40be-a336-1ad101b9be9e,Pinehurst Resort (No. 10),52,"Tom Doak, Angela Moser","Pinehurst, NC",public,2024
